Family,Genus,Species,Genus.Species,Registration number,mBd,Uj,Lj,Ed,Hd,PBd,TL,Bw,Mw,DFb,CFb,AFb,PelFb,Pfb,Perimeter
Nototheniidae,Notothenia,microlepidota,Notothenia_microlepidota,P.047327,93.28,37.5,35.87,17.53,50.68,86.02,370,67.54,40.91,195,40.97,95.08,13.5,27.1,717
Ophichthidae,Ophisurus,serpens,Ophisurus_serpens,MA046347,58.5,86.19,75.04,12.35,29.03,45.12,2303,45.17,34.29,1965,NA,1298,NA,20.66,4547
Oreosomatidae,Oreosoma,atlanticum,Oreosoma_atlanticum,P.032973,78.45,17.56,25.64,27.01,41.85,72.4,154,28.7,11.28,66.25,14.95,56.62,7.38,9.59,318
Pinguipedidae,Parapercis,binivirgata,Parapercis_binivirgata,P.045603,28.26,17.74,17.01,13.07,20.58,26.37,172,27.39,14.08,93.45,14.45,66.53,4.64,10.23,325
Pinguipedidae,Parapercis,colias,Parapercis_colias,P.046566,110.44,50.34,55.08,25.42,83.75,108.72,449,94,57.79,235,68,134,14.3,28.09,875
Pinguipedidae,Parapercis,gilliesii,Parapercis_gilliesii,P.052402,44.02,26.77,25.62,19.64,30.77,41.68,259,40.13,22,142.61,34,111.85,6.79,14.34,479
Paraulopidae,Paraulopus,nigripinnis,Paraulopus_nigripinnis,P.042473,31.87,21.19,22,18.6,21.48,30.04,198,26.67,15.7,27.08,14.55,14.71,6.27,7.23,389
Paraulopidae,Paraulopus,okamurai,Paraulopus_okamurai,P.054938,46.91,36.65,39.26,31.2,35.43,43.81,278,46.55,33.71,34.7,33,16.69,12.81,12.19,558
Mullidae,Parupeneus,spilurus,Parupeneus_spilurus,P.050266,60.75,22.57,23.92,13.39,42.86,59.69,226,31.61,18.24,73,43,28.59,10.53,12.33,478
Serranidae,Plectranthias,bilaticlavia,Plectranthias_bilaticlavia,P.038143,12.39,7.35,5.71,5.89,9.1,11.81,44,8.3,5.18,18.17,5.25,6.65,2.09,2.58,78
Serranidae,Plectranthias,maculicauda,Plectranthias_maculicauda,P.053099,30.03,16.89,14.87,9.82,20.94,30.16,106,17.05,13.48,49,12.23,15.08,3.93,6.8,198
Polymixiidae,Polymixia,cfbusakhini,Polymixia_cfbusakhini,P.056079,143.25,63.94,47.12,32.2,73.72,132.96,421,71.45,54.44,178,69,86,14.38,17.47,924
Polyprionidae,Polyprion,americanus,Polyprion_americanus,P.056097,83.48,37.66,41.76,17.66,45.25,81.78,247,47.16,32.7,117,57,37.05,13.71,15.96,518
Polyprionidae,Polyprion,oxygeneios,Polyprion_oxygeneios,P.053547,144,75,82,28,81,143,511,85,62,243,103,64,21,26,1095
Carangidae,Pseudocaranx,georgianus,Pseudocaranx_georgianus,P.045523,173.3,49.6,44.02,18.99,110.5,161.81,498,70.8,25.95,272,92,186,12.67,25.75,1100
Labridae,Pseudolabrus,luculentus,Pseudolabrus_luculentus,P.049891,29.58,8.08,7.85,6.32,18.8,29.58,118,13.87,8.25,56.75,15.4,29.92,4.26,5.95,244
Labridae,Pseudolabrus,miles,Pseudolabrus_miles,P.046497,65.53,19.11,19.95,12.21,40.46,67.27,223,32.25,18.55,106,37.07,58.02,5.66,13.88,454
Moridae,Pseudophycis,bachus,Pseudophycis_bachus,P.049678,76.75,47.75,45.96,15.98,44.76,74.12,402,54.74,44.22,241,41,184,6.17,18.62,765
Moridae,Pseudophycis,barbata,Pseudophycis_barbata,P.052745,111.72,70.45,63.39,22.56,64.04,105.62,498,65.26,57.01,275,40,240,4.56,26.94,975
Psychrolutidae,Psychrolutes,microporos,Psychrolutes_microporos,P.037011,138.47,60.65,67.28,19.61,108.74,136.11,490,123.01,88.85,258,56,135,6.72,63.31,946
Triglidae,Pterygotrigla,andertoni,Pterygotrigla_andertoni,P.046349,89.34,48.34,42.38,33.6,79.32,87.27,377,68.23,48.31,143,58,94,15.72,36.62,739
Gempylidae,Rexea,solandri,Rexea_solandri,P.039338,63.34,44.23,46.82,21.24,40.21,53.86,354,32.26,24.58,207,47.27,54.38,1.24,8.95,690
Gempylidae,Ruvettus,pretiosus,Ruvettus_pretiosus,P.024449,169.85,126.8,131.89,42.13,118.5,164.74,943,86.53,69.8,515,132,151,14.57,27.22,1896
Ophichthidae,Scolecenchelys,castlei,Scolecenchelys_castlei,P.044497,10.02,12.38,13.09,4.51,6.02,NA,358,8.04,6.82,NA,480,NA,NA,NA,720
